player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Shea Freibaum,174291,LS,OKLA STATE,4,0,0,262,,,71.3,,,67.8,64.2,,,65.5,0,0,13,0,0,0,25,0,0
Jarrett Henry,174293,C,OKLA STATE,11,0,0,262,,,71.5,,,,63.9,,,64.4,0,0,37,0,0,0,0,0,0
Hudson Kaak,174294,P,AUBURN,12,0,0,115,,,67.0,,60.0,,63.3,,71.3,72.0,0,1,60,0,1,0,51,0,0
Cooper Lai,174296,CB,OKLA STATE,9,0,0,262,,,,,,,58.2,,,80.5,0,0,0,0,30,39,1,30,2
Iman Oates,174301,DI,OKLA STATE,10,0,0,262,57.4,,,,,,56.6,,,67.5,0,0,0,40,0,0,0,0,0
Jakobe Sanders,174307,G,OKLA STATE,11,0,0,262,,,74.4,,,,64.7,,,65.5,0,0,37,0,0,0,0,0,0
Dylan Smith,174309,S,OKLA STATE,4,0,0,262,60.2,,,,,,61.4,,,64.8,0,0,0,22,9,0,0,0,0
Poasa Utu,174312,ED,OKLA STATE,12,0,0,262,59.6,,,,,,64.7,,,73.0,0,0,0,2,44,0,1,14,1
Sesi Vailahi,174313,HB,OKLA STATE,11,0,0,262,,,,,,,58.2,,,71.8,0,0,0,0,10,60,0,0,0
Lardarius Webb Jr.,174314,CB,WAKE,7,0,0,339,,,,,,,68.1,,,72.8,0,0,0,0,4,0,12,10,1
Tywon Wray Jr.,174316,S,S ALABAMA,8,0,0,288,,,,,,,50.9,,,71.5,0,0,0,0,15,0,0,17,1
Markee Anderson,174317,G,S CAROLINA,5,0,0,289,,,68.1,,,,63.5,,,70.2,0,0,21,0,0,0,0,0,0
Maurice Brown II,174318,TE,S CAROLINA,12,0,0,289,,,72.9,,,,59.0,,,28.8,1,2,45,0,49,54,50,26,3
Judge Collier,174319,CB,S CAROLINA,8,0,0,289,60.2,,,,,,64.0,,,74.4,0,0,0,28,0,0,0,24,0
Connor Cox,174320,TE,N CAROLINA,7,0,0,245,,,66.4,,,,87.7,,,68.5,0,0,18,0,0,15,1,0,0
Elijah Davis,174321,ED,TROY,11,0,0,318,58.3,,,,,,47.6,,,27.7,0,1,0,24,0,0,4,3,0
Grayson Howard,174322,LB,FLORIDA,2,0,0,163,60.0,,,,,,61.3,,,70.9,0,0,0,1,5,9,0,6,0
Jalon Kilgore,174323,CB,S CAROLINA,11,0,0,289,59.1,,,,,,60.1,30.6,,69.3,0,0,0,44,0,1,0,11,0
Xzavier McLeod,174324,DI,GEORGIA,13,0,0,173,57.8,,,,,,48.8,,,28.1,0,1,0,40,0,0,0,2,0
Reid Mikeska,174325,TE,FAU,12,0,0,165,,,74.5,,,,67.1,,,73.8,0,0,55,0,0,76,26,0,0
Desmond Umeozulu,174327,ED,S CAROLINA,12,0,0,289,58.2,,,,,,52.8,,,29.2,0,1,0,47,0,0,0,19,0
Rion Roseborough,174337,DI,E CAROLINA,12,0,0,156,59.5,,,,,,66.8,,,69.7,0,0,0,18,0,0,48,10,0
Nicholas Antoine,174339,CB,UCF,5,0,0,323,,,,,,,51.0,,,71.9,0,0,0,0,6,21,0,4,0
