player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Bailey Despanie,144413,S,TULANE,14,9,0,58.8,2,0,319,0,0,60.2,62.5,33.6,47.2,69.8,69.1,0,1,0,1,44,14.3,10,5,3,100.0,10,0,0,200,3,320,560,9,0,0,9,0,282,551,3,237,65,20,51,2,17,1,3,138,34,13.8
Corey Platt Jr.,144431,LB,HOUSTON,12,15,1,83.3,0,2,182,0,0,57.3,67.9,82.9,58.7,83.1,73.9,0,6,0,0,42,8.9,4,1,0,155.8,15,3,0,246,6,176,357,29,0,0,29,0,1,328,66,115,75,12,26,2,18,9,2,242,129,16.1
Rodrek Williams II,144439,CB,TULANE,2,0,0,,0,0,319,0,0,60.0,61.1,65.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,3,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,
Matthew Alexander,144453,DI,GA TECH,11,4,0,,0,0,176,1,0,60.6,67.0,60.9,63.3,68.1,59.1,1,11,0,0,,10.0,2,0,1,0.0,0,1,0,0,0,0,395,395,6,330,7,52,0,0,222,173,0,11,14,0,0,13,0,0,0,
Malachi Lawrence,144461,ED,UCF,12,4,2,,0,2,323,0,0,61.8,80.1,69.5,89.5,66.2,63.2,3,30,0,0,,23.3,7,0,1,0.0,0,7,0,0,0,20,470,470,0,30,394,46,0,0,228,222,0,18,19,4,0,40,0,0,0,
Davon Hicks,144482,LB,GA SOUTHRN,1,0,0,,0,0,174,0,0,62.3,60.8,75.1,58.9,59.1,73.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,4,16,13,0,0,13,0,0,3,2,10,0,0,1,0,0,0,0,0,0,
Jaelen Stokes,144498,S,USF,13,5,2,71.4,0,1,327,1,0,74.1,75.0,83.5,69.8,73.0,65.7,1,4,0,0,14,12.5,4,0,0,80.1,5,0,0,166,3,145,320,52,0,0,52,0,46,268,25,150,52,9,23,0,7,5,0,31,24,6.2
Amer Amer,144502,LB,USF,2,0,0,,0,0,327,0,0,,60.8,61.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,
Tevin Williams III,144524,CB,BAYLOR,10,3,0,63.6,1,0,118,0,0,64.5,65.3,0.0,56.2,78.7,72.1,0,0,0,0,25,9.1,2,2,6,87.9,14,0,0,14,282,153,302,0,0,0,0,0,0,302,2,147,6,7,17,2,22,0,1,93,27,6.6
Cooper Lanz,144530,DI,BAYLOR,11,12,1,,0,0,118,0,0,60.5,73.5,84.9,61.6,76.5,85.1,0,11,0,0,,2.6,1,0,0,0.0,0,1,0,0,0,2,476,476,82,306,41,47,0,0,209,265,0,14,25,2,0,12,0,0,0,
