player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Dakohta Sonnichsen,154414,WR,TAYLOR,2,2,0,0,0.0,0,0,22,1,0,0,3,0.0,1,2,402,0,0,74.0,67.2,81.6,,,65.0,67.6,60.8,13,0,167,4,38,57,0,0,6,6,0,22,3,1.5,11.0,4.39,0
Jamarkest Banks,180999,HB,LANECOL,1,2,0,0,0.0,0,0,9,0,0,0,7,0.0,0,1,942,0,0,66.3,70.8,70.1,,,61.8,70.8,60.0,7,0,1,1,5,3,0,0,1,3,0,9,7,3.5,4.5,0.2,2
Aaron Burton,181005,HB,LANECOL,1,2,0,0,0.0,0,0,5,0,0,0,5,0.0,0,0,942,0,0,65.5,65.8,65.5,,70.8,,63.9,,5,0,0,0,0,2,0,0,0,2,0,5,5,2.5,2.5,,2
Colbi Clarke,168499,WR,NAUSTA,2,2,1,0,,0,0,0,2,0,1,11,61.1,0,0,1453,0,0,67.8,55.0,77.9,,,51.9,63.1,71.6,9,0,25,7,47,31,0,0,11,9,0,0,11,5.5,0.0,0.53,0
Yavin Smith,152183,WR,N GREENVLE,1,2,0,0,0.0,0,0,6,0,0,0,2,0.0,0,0,390,0,1,67.2,54.7,74.3,,0.0,59.9,57.6,60.0,3,0,5,2,14,4,0,0,2,4,0,6,2,1.0,3.0,0.36,0
Lucas Milz,181695,HB,WISCSP,1,2,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,1212,0,2,66.3,56.4,68.6,,67.7,65.3,56.1,60.0,1,0,5,1,2,3,0,0,1,3,0,1,1,0.5,0.5,2.5,0
Brandon Belgrave,147735,HB,COMESA,1,2,1,0,0.0,0,0,14,0,0,1,12,300.0,1,1,1281,0,0,66.7,60.5,68.8,,,60.0,60.5,60.0,12,0,0,0,1,3,0,0,0,2,0,14,12,6.0,7.0,0.0,2
Hunter Kilpatrick,187997,HB,W ALABAMA,1,2,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,408,0,0,66.3,53.7,76.8,,36.2,55.0,56.8,55.5,3,0,5,1,16,17,0,0,1,3,0,1,1,0.5,0.5,0.31,2
Roderick Thomas,182378,HB,MILES,1,2,0,0,0.0,0,0,7,0,0,0,5,0.0,0,0,386,0,2,66.3,56.3,70.2,,,60.8,56.4,,5,0,6,1,2,2,0,0,1,3,0,7,5,2.5,3.5,3.0,0
Jermaine Tillery,132853,WR,PSTEAG,1,2,0,0,0.0,0,0,-1,0,0,0,2,0.0,0,0,1476,0,0,69.3,79.4,78.9,,,80.1,65.2,45.5,5,0,79,9,28,22,0,0,9,11,0,-1,2,1.0,-0.5,2.82,0
Patrick Charles,182723,HB,LINCOK,2,2,0,0,0.0,0,0,-1,0,0,0,1,0.0,0,0,1452,0,1,65.5,57.1,64.5,,,,57.9,,3,0,0,0,0,2,0,0,0,2,0,-1,1,0.5,-0.5,,1
Kalen Clark,111359,HB,LIMEST,1,2,1,0,0.0,0,0,4,0,0,1,6,150.0,0,1,1283,0,0,65.5,66.0,67.1,,,60.0,64.5,,2,0,0,0,1,2,0,0,0,2,0,4,6,3.0,2.0,0.0,2
Ernesto Rios,109998,HB,COMESA,1,2,0,0,0.0,0,0,9,0,0,0,6,0.0,0,1,1281,0,0,65.5,68.8,66.9,,,60.0,66.9,,6,0,0,0,1,2,0,0,0,2,0,9,6,3.0,4.5,0.0,2
Isaiah Robinson,182763,S,LINCOK,1,2,0,0,0.0,0,0,19,0,0,0,9,0.0,1,1,1452,0,1,65.5,58.1,67.9,,,,62.1,53.0,14,1,0,0,0,4,0,0,0,2,0,19,9,4.5,9.5,,1
Seth Morgan,103954,QB,SHPHRD,1,2,1,0,0.0,0,0,-1,0,0,0,0,0.0,1,1,1095,0,0,68.0,88.8,75.9,86.6,,,65.6,60.0,11,0,0,0,0,33,11,1,0,1,0,10,19,9.5,5.0,,0
Elijah Henderson,182812,LB,NAUSTA,1,2,0,0,0.0,0,0,4,0,0,0,4,0.0,0,0,1453,0,0,65.5,57.8,66.4,,,,58.4,,2,0,0,0,0,2,0,0,0,2,0,4,4,2.0,2.0,,2
Allie Brown,97066,HB,SVANNAH ST,1,2,1,0,0.0,0,0,1,0,0,1,3,75.0,0,0,286,0,2,12.0,55.5,70.1,,,55.5,57.1,60.0,2,0,0,0,6,3,0,0,0,2,0,1,3,1.5,0.5,0.0,0
Emari O'Brien,178788,WR,FERRIS,2,2,1,0,0.0,0,0,8,0,0,1,2,50.0,0,0,868,0,1,65.5,49.8,81.2,,,51.2,57.0,51.9,5,0,0,0,30,35,0,0,0,2,0,8,2,1.0,4.0,0.0,1
Logan Meyer,180696,HB,NWREDR,1,1,0,0,0.0,0,0,2,0,0,0,0,0.0,0,1,1035,0,1,64.3,66.0,71.0,,,60.3,63.0,60.0,2,0,4,1,4,2,0,0,1,2,1,2,0,0.0,2.0,1.0,0
Armani Bailey,179469,WR,EDNBFS,2,1,2,0,0.0,0,0,3,2,0,2,11,733.3,0,0,860,0,0,72.2,52.6,78.3,,,50.9,63.2,58.3,3,0,33,2,47,39,0,0,5,3,0,3,11,11.0,3.0,0.7,0
Brett Prange,181707,TE,WISCSP,1,1,0,0,0.0,0,0,-1,0,0,0,1,0.0,0,0,1212,0,1,62.5,46.6,68.4,,68.9,55.8,59.2,46.4,-1,0,0,0,2,4,0,0,0,1,0,-1,1,1.0,-1.0,0.0,0
Garrison Hand,155597,WR,MHMRTI,1,1,0,0,0.0,0,0,3,0,1,0,3,150.0,0,0,999,0,0,64.3,56.2,77.0,,,54.1,57.7,78.7,3,0,8,1,21,26,0,0,3,2,0,3,3,3.0,3.0,0.38,0
Isaac Smith,161473,WR,INWSLY,1,1,0,0,0.0,0,0,6,0,0,0,0,0.0,0,0,1451,0,0,66.5,67.3,0.0,,,67.7,63.2,60.4,6,1,63,4,29,13,0,0,8,5,0,6,0,0.0,6.0,2.17,0
Rocky Wagoner,181740,HB,WISCSP,1,1,0,0,0.0,0,0,2,0,0,0,2,0.0,0,0,1212,0,1,66.0,67.0,70.6,,70.0,87.1,59.7,58.8,2,0,22,3,5,3,0,0,3,4,0,2,2,2.0,2.0,4.4,0
Jeffery Williams,181747,WR,WISCSP,1,1,0,0,0.0,0,0,5,0,1,0,4,200.0,0,0,1212,0,0,65.7,50.4,0.0,,,53.5,59.5,60.6,5,1,5,1,21,14,0,0,2,2,0,5,4,4.0,5.0,0.24,0
Kory Barnes,182837,WR,LINCOK,4,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,1452,1,0,18.2,29.2,77.3,25.2,,54.3,58.2,61.1,1,0,0,0,12,13,0,0,1,1,0,1,1,1.0,1.0,0.0,1
Keely Watson,165483,QB,STTMFL,1,1,0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,1477,0,0,67.9,59.1,74.8,58.7,,,59.6,60.0,1,0,0,0,0,17,0,0,0,1,0,1,0,0.0,1.0,,1
Kamerin Ferguson,168080,HB,SW BAPTIST,1,1,0,0,0.0,0,0,6,0,0,0,4,0.0,0,0,1492,0,1,62.5,68.8,68.3,,45.8,59.7,63.2,60.0,6,0,0,0,1,2,0,0,0,1,0,6,4,4.0,6.0,0.0,0
Ashton Davis,165491,HB,STTMFL,1,1,0,0,0.0,0,0,4,0,0,0,1,0.0,0,0,1477,0,1,62.5,55.3,65.2,,,59.8,57.3,,4,0,0,0,1,1,0,0,0,1,0,4,1,1.0,4.0,0.0,0
Lamonte Kelly,182190,QB,ARKBC,1,1,0,0,0.0,0,0,3,0,0,0,1,0.0,0,0,1515,1,0,16.4,32.8,72.0,29.8,,,59.7,60.0,3,0,0,0,0,9,0,0,0,1,0,3,1,1.0,3.0,,1
Kameron Johnson,165866,WR,BARCOL,1,1,0,0,0.0,0,0,5,1,1,0,4,57.1,0,0,1473,0,0,73.1,66.8,79.1,57.7,,67.1,63.0,58.6,5,0,62,6,27,29,0,0,11,7,0,5,4,4.0,5.0,2.3,0
Daniel Stewart,143667,P,CENT WASH,1,1,0,0,0.0,0,0,-17,0,0,0,0,0.0,0,0,367,1,0,11.1,60.0,70.3,,,,60.0,,-17,0,0,0,0,1,0,0,0,1,0,-17,0,0.0,-17.0,,0
Antonio Dawson,180029,WR,WEBINT,1,1,0,1,100.0,15,0,15,2,0,0,11,0.0,1,1,1246,0,1,71.2,45.8,74.5,,,42.3,63.8,60.0,15,0,4,1,11,9,0,0,3,2,0,15,11,11.0,15.0,0.36,0
Jermaine Land,166242,HB,W OREGON,1,1,1,1,100.0,24,0,24,0,0,1,29,2.9e3,1,1,411,0,1,62.5,76.3,65.4,,,,66.1,60.0,24,0,0,0,0,2,0,0,0,1,0,24,29,29.0,24.0,,0
Derek Allen Jr.,179895,WR,WABASH,1,1,2,0,0.0,0,0,-5,0,0,2,3,54.5,0,0,1167,1,0,20.5,69.0,80.0,,,67.7,,70.1,-5,0,99,10,39,20,0,0,11,11,0,-5,3,3.0,-5.0,2.54,0
Khorin Brown,182885,HB,NAUSTA,1,1,0,0,0.0,0,0,3,0,0,0,3,0.0,0,0,1453,0,0,62.5,59.6,69.5,,71.9,58.6,59.7,,3,0,0,0,2,1,0,0,0,1,0,3,3,3.0,3.0,0.0,1
Tylique Ray,179865,WR,VIRSTA,1,1,0,0,0.0,0,0,5,0,1,0,3,75.0,0,0,1164,0,1,75.9,64.1,75.5,,,62.6,59.6,73.0,5,0,49,3,27,19,0,0,6,4,0,5,3,3.0,5.0,1.81,0
