player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tyree Taylor,178624,,ALBANY ST,1,10.0,1,100.0,,0,0,0,0.0,0,-0.2,1,360,0,66.7,61.0,66.2,,70.4,53.3,8,0,41,0.0,0,15,0,33.3,1,100.0,15,46.7,7,118.8,1,0,0.0,0,41,31,31.0,41.0,2.73
Maleek Jarrett,52665,HB,THMORE,1,-5.0,0,100.0,,0,0,0,0.0,0,-0.41,0,1296,0,66.7,74.4,66.8,70.0,59.9,0.0,0,0,-1,60.9,14,23,0,22.7,1,39.1,9,4.3,1,79.2,1,0,0.0,0,-1,4,4.0,-1.0,-0.11
Brendan Lamb,52868,HB,TAYLOR,1,-5.0,0,100.0,,0,0,0,0.0,0,-0.75,0,402,0,66.7,75.5,66.1,78.4,63.9,0.0,0,0,7,66.7,6,9,0,33.3,1,33.3,3,0.0,0,95.8,1,0,0.0,0,7,12,12.0,7.0,2.33
Yanez Rogers,78039,WR,ED WATERS,1,-3.0,0,0.0,,0,0,0,,0,-0.58,0,372,0,,,50.5,,55.2,0.0,0,0,0,0.0,0,11,0,18.2,0,100.0,11,100.0,11,39.6,1,0,0.0,0,0,0,,,0.0
Tanner Meale,88879,TE,THMORE,1,7.0,0,0.0,,0,0,0,100.0,1,0.34,0,1296,0,16.8,,49.3,69.7,33.7,90.0,9,1,0,50.0,5,10,0,33.3,0,40.0,4,10.0,1,0.0,1,0,0.0,0,0,0,,,0.0
Asa Barnes,97122,HB,WSRAMS,1,-5.0,0,0.0,,0,0,0,,0,-1.24,0,1206,0,,73.1,63.9,,56.5,0.0,0,0,0,0.0,0,7,0,16.7,0,85.7,6,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Chris Green,102532,WR,ED WATERS,1,33.0,0,0.0,,0,0,0,,0,-0.6,0,372,0,,,53.9,,54.1,0.0,0,0,0,0.0,0,15,0,21.4,0,93.3,14,100.0,15,39.6,1,0,0.0,0,0,0,,,0.0
Kendon Walker,104850,FB,KY STATE,1,19.0,0,0.0,,0,0,0,,0,-1.49,0,378,0,,73.1,53.1,,56.0,0.0,0,0,0,0.0,0,8,0,12.5,0,100.0,8,25.0,2,39.6,1,0,12.5,1,0,0,,,0.0
Juwan Scott,110435,WR,LIMEST,1,6.0,0,0.0,,0,0,0,,0,-1.28,0,1283,0,,68.5,49.6,,55.4,0.0,0,0,0,0.0,0,6,0,16.7,0,100.0,6,83.3,5,39.6,1,0,16.7,1,0,0,,,0.0
R.J. Mobley,111286,WR,WSRAMS,1,10.0,0,0.0,,0,0,0,,0,-1.0,0,1206,0,,,51.0,,53.5,0.0,0,0,0,0.0,0,15,0,15.4,0,86.7,13,13.3,2,39.6,1,0,86.7,13,0,0,,,0.0
Jervon Newton,111356,HB,MARS HILL,1,-2.0,0,0.0,,0,0,0,,0,-0.75,0,383,0,,72.5,57.4,82.2,54.2,0.0,0,0,0,20.0,5,25,0,28.0,0,80.0,20,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Deondre Harvey,112253,TE,TUSKEGEE,1,0.0,0,100.0,,0,0,0,0.0,0,-0.08,1,405,0,66.7,61.0,75.4,65.4,88.1,100.0,3,0,12,33.3,1,3,0,33.3,1,66.7,2,0.0,0,116.7,1,0,0.0,0,12,12,12.0,12.0,6.0
Jaevon Gillespie,113087,HB,UVAWIS,1,2.0,0,100.0,,0,0,0,0.0,0,0.6,0,1320,0,66.7,72.0,84.1,76.7,62.0,0.0,0,0,2,40.0,4,10,0,50.0,1,60.0,6,0.0,0,79.2,1,0,0.0,0,2,0,0.0,2.0,0.33
Sam Wilder,120957,FB,MISS COL,1,17.0,0,0.0,,0,0,0,,0,-0.66,0,990,0,,62.5,52.9,67.5,53.8,11.1,1,0,0,11.1,1,9,0,22.2,0,88.9,8,22.2,2,39.6,1,0,22.2,2,0,0,,,0.0
Jordan Clay,126555,HB,WJWLL,1,-3.0,0,100.0,,0,0,0,0.0,0,0.15,0,1198,0,66.7,37.4,75.0,82.7,57.4,0.0,0,0,-3,51.9,14,27,0,38.5,1,48.1,13,3.7,1,79.2,1,0,0.0,0,-3,0,0.0,-3.0,-0.23
Kenneth Fitzgerald,128198,TE,LINCOK,3,7.0,0,100.0,,0,0,0,0.0,0,-0.49,0,1452,0,66.7,61.0,55.7,,57.4,50.0,4,0,6,0.0,0,8,0,25.0,1,100.0,8,12.5,1,91.7,1,0,37.5,3,6,-1,-1.0,6.0,0.75
Shon Strickland,130387,WR,MHMRTI,1,6.0,0,100.0,,0,0,0,0.0,0,-1.82,0,999,0,66.7,61.0,56.3,,56.7,0.0,0,0,6,0.0,0,11,0,11.1,1,81.8,9,0.0,0,91.7,1,0,100.0,11,6,0,0.0,6.0,0.67
KeAndre Turner,136845,TE,MHMRTI,1,3.0,0,100.0,,0,0,0,0.0,0,-0.8,1,999,0,66.7,61.0,68.3,32.5,73.9,71.4,5,0,13,57.1,4,7,0,20.0,1,14.3,1,28.6,2,118.8,1,0,0.0,0,13,10,10.0,13.0,13.0
Spencer Carter,139257,HB,ED WATERS,1,15.0,0,0.0,,0,0,0,,0,-0.22,0,372,0,,67.3,58.7,75.2,59.2,0.0,0,1,0,60.0,3,5,0,40.0,0,40.0,2,0.0,0,0.0,1,0,0.0,0,0,0,,,0.0
De'Shaun Hugee,139281,HB,ED WATERS,1,6.0,0,0.0,,0,0,0,100.0,1,-0.67,0,372,0,16.4,69.7,50.5,77.9,28.8,0.0,0,0,0,50.0,5,10,0,22.2,0,50.0,5,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Thomas Campbell-Clay,139419,WR,EANMGH,1,8.0,0,0.0,0.0,0,1,0,,0,-0.94,0,858,0,,,58.0,,59.3,0.0,0,0,0,0.0,0,1,0,0.0,0,100.0,1,0.0,0,39.6,1,0,100.0,1,0,0,,,0.0
Shawn Martin,150594,HB,SOCTOW,1,2.0,0,0.0,,0,0,0,,0,-0.1,0,1107,0,,70.1,58.7,78.6,55.1,0.0,0,0,0,37.5,6,16,0,31.3,0,62.5,10,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Raborn Dismuke,150596,WR,SOCTOW,1,-1.0,0,0.0,,0,0,0,,0,-0.18,0,1107,0,,,55.4,,56.5,0.0,0,0,0,0.0,0,5,0,20.0,0,100.0,5,100.0,5,39.6,1,0,0.0,0,0,0,,,0.0
Kevin Degnan,150617,WR,SOCTOW,1,8.0,0,100.0,,0,0,0,0.0,0,-0.38,0,1107,0,66.7,65.3,56.1,,56.4,0.0,0,0,8,0.0,0,8,0,37.5,1,100.0,8,0.0,0,100.0,1,0,100.0,8,8,0,0.0,8.0,1.0
Taven Canty,151324,HB,NAUSTA,1,6.0,0,0.0,,0,0,0,,0,-1.24,0,1453,0,,23.9,39.4,74.4,56.6,0.0,0,0,0,42.9,3,7,0,0.0,0,42.9,3,42.9,3,39.6,1,0,0.0,0,0,0,,,0.0
Jaylyn Williams,151352,TE,NAUSTA,1,12.0,0,0.0,0.0,0,1,0,100.0,1,-1.76,0,1453,0,16.4,,41.5,,31.2,100.0,10,0,0,0.0,0,10,0,10.0,0,100.0,10,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Isaiah Saleem,151515,HB,KY STATE,1,23.0,0,0.0,,0,0,0,,0,-1.9,0,378,0,,,58.7,,58.7,0.0,0,0,0,0.0,0,2,0,0.0,0,100.0,2,50.0,1,39.6,1,0,0.0,0,0,0,,,0.0
Brandon Hicks,151572,HB,MILES,1,6.0,0,0.0,,0,0,0,,0,-0.1,0,386,0,,73.1,49.3,31.3,56.5,0.0,0,0,0,63.6,7,11,0,27.3,0,36.4,4,0.0,0,39.6,1,0,9.1,1,0,0,,,0.0
Aaron Frazier,151573,HB,MILES,1,-3.0,0,100.0,,0,0,0,0.0,0,-1.28,0,386,0,66.7,65.7,60.7,,65.8,0.0,0,0,1,0.0,0,1,0,0.0,1,100.0,1,0.0,0,79.2,1,0,0.0,0,1,4,4.0,1.0,1.0
Collin Woods,151586,WR,MILES,1,5.0,0,100.0,,0,0,0,0.0,0,0.9,1,386,0,66.7,61.0,75.3,,71.7,0.0,0,0,15,0.0,0,3,0,33.3,1,100.0,3,0.0,0,158.3,1,1,100.0,3,15,10,10.0,15.0,5.0
Kory Gainwell,151738,HB,DELTAST,1,-2.0,0,100.0,,0,0,0,0.0,0,0.5,0,841,0,66.7,67.8,68.6,70.4,71.4,0.0,0,0,8,22.2,2,9,0,55.6,1,77.8,7,0.0,0,100.0,1,0,0.0,0,8,10,10.0,8.0,1.14
Samuel Jordan,151883,HB,LINCOLN,1,0.0,0,100.0,,0,0,0,0.0,0,-0.51,0,380,0,66.7,70.7,59.4,80.3,59.8,0.0,0,0,-1,35.7,5,14,0,28.6,1,64.3,9,7.1,1,79.2,1,0,0.0,0,-1,-1,-1.0,-1.0,-0.11
Daylon Charles,151931,HB,LOUCHR,1,-2.0,0,100.0,,0,0,0,0.0,0,-0.18,0,958,0,66.7,73.0,54.8,73.2,59.5,0.0,0,0,0,42.9,3,7,0,28.6,1,57.1,4,14.3,1,79.2,1,0,0.0,0,0,2,2.0,0.0,0.0
Tyler Darbonne,152063,TE,LOUCHR,1,4.0,0,0.0,,0,0,0,,0,0.8,0,958,0,,,47.5,68.3,51.1,83.3,10,0,0,16.7,2,12,0,58.3,0,83.3,10,16.7,2,39.6,1,0,0.0,0,0,0,,,0.0
Yavin Smith,152183,HB,N GREENVLE,1,30.0,0,0.0,,0,0,0,100.0,1,-0.51,0,390,0,16.4,70.5,50.2,11.7,38.9,0.0,0,0,0,14.3,2,14,0,42.9,0,85.7,12,7.1,1,39.6,1,0,14.3,2,0,0,,,0.0
Logan Reese,152447,WR,W OREGON,1,8.0,0,0.0,,0,0,0,100.0,1,-0.13,0,411,0,16.4,,40.2,,44.2,0.0,0,0,0,0.0,0,3,0,33.3,0,100.0,3,100.0,3,39.6,1,0,0.0,0,0,0,,,0.0
