player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jonathan Holton,152222,C,N GREENVLE,1,100.0,0,390,51.2,50.1,56.2,0,1,37,100.0,100.0,98.6,1,1,0,66,66,0,0,66,39,39,0,0,27,0
Jose Fernandez,152518,C,AVEMAR,1,100.0,0,1450,44.8,16.4,55.7,0,1,36,100.0,100.0,98.6,0,1,0,65,65,0,0,65,36,36,0,0,29,0
Dalton Simpler,112876,G,WESTFL,1,100.0,0,1269,53.9,42.1,54.6,3,0,36,100.0,100.0,95.8,0,3,0,65,0,65,0,65,44,44,0,0,21,0
Kent Powell,136164,G,CENT WASH,1,100.0,0,367,74.6,70.6,74.9,0,1,28,100.0,100.0,98.2,0,1,0,65,0,0,0,65,29,29,65,0,36,0
Raymond Schalk,136175,T,CENT WASH,1,100.0,0,367,69.8,59.6,69.8,1,1,28,100.0,100.0,96.4,0,2,0,65,0,0,0,65,29,29,0,65,36,0
Scottland Vise,136186,C,CENT WASH,1,100.0,0,367,82.3,78.6,77.2,0,0,28,100.0,100.0,100.0,0,0,0,65,65,0,0,65,29,29,0,0,36,0
Zac Elam,154563,C,WESTFL,1,100.0,0,1269,69.6,76.4,70.2,0,0,36,100.0,100.0,100.0,1,0,0,65,65,0,0,65,44,44,0,0,21,0
Tytus Timoteo,87471,G,CENT WASH,1,100.0,0,367,73.4,87.3,71.1,0,0,28,100.0,100.0,100.0,0,0,0,65,0,65,0,65,29,29,0,0,36,0
Kenneth Roman,37179,T,WESTFL,1,100.0,0,1269,47.5,35.6,61.7,3,1,36,100.0,100.0,94.4,1,4,0,65,0,0,0,65,44,44,0,65,21,0
Mike Dilla,112934,G,WESTFL,1,100.0,0,1269,71.3,87.9,67.6,0,0,36,100.0,100.0,100.0,0,0,0,65,0,0,0,65,44,44,65,0,21,0
Jacob Bruce,112758,T,WESTFL,1,100.0,0,1269,57.3,63.3,59.4,0,1,36,100.0,100.0,98.6,1,1,0,65,0,0,65,65,44,44,0,0,21,0
Axel Isackson,143669,T,CENT WASH,1,100.0,0,367,69.4,28.1,79.0,1,1,28,100.0,100.0,96.4,0,2,0,65,0,0,65,65,29,29,0,0,36,0
