player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jackson Willette,149677,TE,MARIST,9,58.6,0,213,52.2,63.6,57.9,0,1,48,31.6,32.5,99.0,2,1,0,156,1,0,0,266,53,163,0,0,103,229
Elijah Downing,104959,WR,MURRAY ST,12,58.6,1,236,54.3,,64.5,0,0,0,0.0,0.0,,1,0,0,156,0,0,0,266,0,110,0,0,156,0
Karate Brenson,126530,WR,TENN STATE,13,32.0,0,308,88.3,,59.3,0,0,0,0.0,0.0,,0,0,0,156,0,0,0,488,0,332,0,0,156,4
Rob McCoy,108989,QB,CHARLES SO,8,46.0,0,135,47.3,,60.0,0,0,0,0.0,0.0,,4,0,0,155,0,0,0,337,0,154,0,0,155,0
Michael Shulikov,178255,WR,IDAHO ST,12,39.7,0,186,54.9,63.9,56.8,0,0,1,0.5,0.4,100.0,1,0,0,155,0,0,0,390,1,236,0,1,154,0
Sean Sallis,156806,TE,TXAMEA,11,53.8,1,1139,69.2,74.8,56.7,0,0,12,8.8,8.3,100.0,1,0,0,155,0,0,0,288,12,145,0,0,143,149
Jackson Dufrene,177985,WR,NICHOLLS,10,48.4,1,243,61.6,,60.0,0,0,0,0.0,0.0,,1,0,0,155,0,0,0,320,0,165,0,0,155,0
Kerien Charlo,169023,WR,TEXAS STHN,11,44.3,0,313,54.7,,52.0,0,0,0,0.0,0.0,,0,0,0,155,0,0,0,350,0,193,0,0,155,0
Quincy Brown,144698,WR,NICHOLLS,7,48.7,0,243,67.1,,61.5,0,0,0,0.0,0.0,,2,0,0,155,0,0,0,318,0,163,0,0,155,0
Itty Henry,162508,TE,ABILENE CH,14,65.0,0,100,64.1,48.4,66.0,0,1,11,12.6,12.6,95.5,2,1,0,154,0,0,0,237,12,95,0,0,142,187
Mitchell January,160496,WR,DRAKE,11,31.2,1,153,65.4,,59.9,0,0,0,0.0,0.0,,4,0,0,154,0,0,0,494,0,339,0,0,154,0
Caleb Rentz,162273,C,PRESBYTERN,6,100.0,0,271,44.0,61.2,42.5,0,1,63,100.0,100.0,97.6,1,2,1,153,126,10,0,153,66,66,0,17,87,0
Nate DeMontagnac,148138,WR,N DAKOTA,11,41.2,1,249,56.9,,64.7,0,0,0,0.0,0.0,,2,0,0,153,0,0,0,371,0,218,0,0,153,0
Kyler Edwards,105439,T,E KENTUCKY,6,100.0,0,159,60.8,61.5,65.0,1,1,67,100.0,100.0,95.5,2,4,2,153,0,0,8,153,70,70,0,145,83,0
Colin Van Rooy,177362,T,FORDHAM,5,100.0,0,168,49.3,47.6,57.2,0,3,100,100.0,100.0,94.5,2,7,4,153,0,0,28,153,105,105,0,125,48,0
Eli Mahan,148372,TE,MAINE,10,69.2,1,212,47.5,42.8,60.0,0,0,17,20.5,23.6,100.0,5,0,0,153,0,0,0,221,21,89,0,0,132,195
Javon Charles,138202,TE,ILL STATE,14,60.8,0,188,52.6,67.1,53.3,0,1,12,11.2,10.9,95.8,1,1,0,152,0,0,0,250,12,110,0,0,140,201
Kahlil Overton,105023,TE,LIUSHAR,12,52.4,0,1298,49.6,41.9,51.0,0,2,16,11.2,11.0,93.7,3,2,0,152,0,0,0,290,17,155,0,0,135,173
Shawn Charles,104965,WR,ROB MORRIS,11,38.7,0,277,72.9,62.1,62.6,0,0,1,0.5,0.4,100.0,1,0,0,152,0,0,0,393,1,233,0,0,151,1
Sonny Mannino,166694,QB,MARIST,11,25.2,0,213,68.9,62.2,60.4,0,0,0,0.0,0.2,,3,0,0,152,0,0,0,603,1,429,0,0,151,0
Zach Simpson,171435,G,INDIANA ST,5,100.0,0,191,55.9,76.0,51.5,0,1,57,100.0,100.0,95.6,0,3,2,151,0,147,0,151,64,64,3,0,87,0
Parker Wroble,139055,WR,MERCER,14,43.0,0,219,64.7,63.1,56.1,0,0,1,0.5,0.5,100.0,0,0,0,151,0,0,0,351,1,192,0,0,150,3
Eli Edwards,159842,T,MERCER,5,100.0,0,219,61.1,86.4,52.4,0,1,78,100.0,100.0,99.4,1,1,0,151,0,0,89,151,78,78,0,62,73,0
Grahm Goering,148225,WR,S DAK ST,10,38.8,0,292,65.4,,68.3,0,0,0,0.0,0.0,,0,0,0,151,0,0,0,389,0,237,0,0,151,0
Devin Herring,181187,WR,ALAB A&M,12,37.5,0,104,55.5,60.9,51.8,0,0,1,0.4,0.4,100.0,1,0,0,151,0,0,0,403,1,253,0,0,150,0
Cole Snyder,147656,T,DELAWARE,6,100.0,0,151,66.3,58.6,72.0,2,3,87,100.0,100.0,97.1,1,5,0,151,0,56,95,151,93,93,0,0,58,0
Mason Stahl,129795,WR,SACR HEART,11,48.9,0,280,52.0,,56.8,0,0,0,0.0,0.0,,1,0,0,151,0,0,0,309,0,158,0,0,151,0
Misiolo Maluia,173011,G,W GEORGIA,4,100.0,0,1177,44.9,24.5,52.7,0,10,97,100.0,100.0,94.8,1,10,0,150,15,0,0,150,104,104,135,0,46,0
Hans Wisnewski,197660,TE,CAMPBELL,12,67.3,0,131,42.3,69.8,40.8,0,1,26,28.6,27.0,98.1,2,1,0,150,0,0,0,223,27,100,0,0,123,202
Kia'i Keone,179368,QB,N COLORADO,8,38.9,0,253,63.3,,60.1,0,0,0,0.0,0.0,,0,0,0,150,0,0,0,386,0,181,0,0,150,0
Brady Meitz,149729,QB,STETSON,9,27.8,0,302,73.7,,60.0,0,0,0,0.0,0.0,,3,0,0,150,0,0,0,539,0,386,0,0,150,0
Ja'Carree Kelly,173611,WR,DELAWARE,11,45.6,0,151,62.8,,47.9,0,0,0,0.0,0.0,,1,0,0,150,0,0,0,329,0,177,0,0,150,5
Sam Rodriguez,143206,TE,DRAKE,12,51.9,0,153,48.3,57.7,51.9,0,0,14,9.6,10.3,100.0,3,0,0,150,0,0,0,289,16,155,0,1,134,198
Davis LeDoyen,148337,TE,ELON,12,92.0,0,162,47.8,55.1,50.5,2,1,25,65.8,65.8,94.0,1,3,0,149,0,0,0,162,25,38,0,0,124,148
Alejandro Vazquez,188126,TE,MERCYHURST,11,63.7,1,977,56.0,32.6,60.9,0,1,18,18.6,19.0,97.2,2,1,0,149,0,0,0,234,20,105,0,0,129,194
Mike Adams,185495,T,INDIANA ST,6,100.0,0,191,42.5,47.4,47.6,0,6,71,100.0,100.0,91.5,2,9,3,149,0,0,9,149,74,74,0,140,75,0
Quincy Vaughn,138259,TE,N DAKOTA,12,53.6,0,249,76.9,70.2,61.4,0,0,38,26.2,26.0,100.0,1,0,0,148,0,0,0,276,40,154,0,0,108,235
Joey Isabella,142453,WR,DUQUESNE,11,35.9,0,155,84.5,,64.8,0,0,0,0.0,0.0,,1,0,0,148,0,0,0,412,0,262,0,0,148,0
Cyrus Wilson,177035,WR,HOWARD,12,40.0,1,184,57.9,,65.2,0,0,0,0.0,0.0,,1,0,0,148,0,0,0,370,0,222,0,0,148,1
Dalton Bailey,170634,WR,STETSON,10,28.3,0,302,77.0,,61.3,0,0,0,0.0,0.0,,0,0,0,148,0,0,0,523,0,375,0,0,148,0
Luke Duska,148339,T,ELON,7,100.0,0,162,38.3,26.3,48.0,1,8,78,100.0,100.0,89.1,1,13,4,148,0,0,15,148,81,81,0,132,67,0
Jamarien Dalton,148331,WR,ELON,11,34.7,0,162,66.5,,61.0,0,0,0,0.0,0.0,,0,0,0,148,0,0,0,427,0,279,0,0,148,1
Jarrett Guest,97997,QB,BRYANT,9,28.7,1,124,75.9,54.3,60.1,0,0,1,0.3,0.3,0.0,2,1,1,148,0,0,0,515,1,350,0,0,147,0
Anthony Manaves,104877,TE,E ILLINOIS,7,45.0,0,158,41.3,51.1,49.6,1,0,20,10.4,10.0,97.5,0,1,0,148,0,0,0,329,20,201,0,0,128,269
Bakari Dailey,160263,WR,ALABAMA ST,7,60.7,0,105,53.6,,56.8,0,0,0,0.0,0.0,,0,0,0,148,0,0,0,244,0,96,0,0,148,0
Julius Loughridge,149316,HB,FORDHAM,11,28.4,0,168,77.9,75.2,50.6,0,3,109,39.5,40.5,98.6,0,3,0,147,0,0,0,517,117,289,0,0,30,1
Andrew Montez,192758,WR,BRYANT,12,31.2,1,124,55.8,65.6,68.0,0,0,2,0.7,0.6,100.0,4,0,0,147,0,0,0,471,2,324,0,0,145,0
Cole England,149852,TE,CITADEL,12,96.7,0,139,38.4,29.9,43.9,0,1,8,61.5,61.5,93.7,0,1,0,147,0,0,0,152,8,13,0,0,139,147
Mark Mahoney,148635,WR,BROWN,9,31.4,0,123,77.9,29.7,59.0,0,0,3,1.0,0.9,100.0,2,0,0,147,0,0,0,468,3,324,0,0,144,35
Ivan Hoyt,159305,WR,DAVIDSON,10,61.0,0,149,69.9,,62.7,0,0,0,0.0,0.0,,1,0,0,147,0,0,0,241,0,94,0,0,147,0
William Mayo,121396,C,CENT ARK,11,100.0,0,132,57.2,60.1,63.1,0,1,68,100.0,100.0,99.3,3,1,0,147,143,0,1,147,71,71,0,1,76,2
Keali'i Ah Yat,178141,QB,MONTANA,11,36.6,0,232,71.7,,60.1,0,0,0,0.0,0.0,,2,0,0,147,0,0,0,402,0,234,0,0,147,0
Dylan Laible,172564,QB,TENN TECH,7,44.6,0,309,62.9,,60.0,0,0,0,0.0,0.0,,0,0,0,146,0,0,0,327,0,176,0,0,146,0
Bennie Anderson,151122,G,YALE,4,100.0,0,352,55.9,57.5,53.8,2,5,65,100.0,100.0,94.6,0,7,0,146,0,143,0,146,70,70,0,2,76,0
Conal Walsh,178451,T,STETSON,3,100.0,0,302,40.7,41.3,39.9,4,1,84,100.0,100.0,95.8,0,6,1,146,0,0,0,146,88,88,0,146,58,0
Ben Wallace,177135,G,ILL STATE,5,100.0,0,188,55.8,66.6,49.8,2,2,78,100.0,100.0,97.4,0,4,0,146,0,61,5,146,83,83,25,55,63,0
Sam Kohls,148208,G,S DAKOTA,8,100.0,0,291,61.3,74.9,61.0,0,1,38,100.0,100.0,98.7,1,1,0,146,0,100,0,146,41,41,46,0,105,0
Hank Fuchs,185484,C,INDIANA ST,2,100.0,0,191,41.0,19.2,50.3,0,5,71,100.0,100.0,96.5,0,5,0,145,145,0,0,145,75,75,0,0,70,0
AJ Barber,155366,WR,PRINCETON,10,30.5,0,272,64.5,,52.1,0,0,0,0.0,0.0,,1,0,0,145,0,0,0,476,0,326,0,0,145,0
Caleb Anderson,163066,TE,ALCORN ST,12,58.2,0,107,53.0,50.7,61.5,0,0,8,7.5,8.8,100.0,1,0,0,145,0,0,0,249,10,114,0,0,135,136
