player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Gaven Ziebarth,148130,HB,N DAKOTA,12,134,31,3,14.9,78,0,525,1,0,31,378,64.3,11,37,249,1,51,77.9,69.7,25.3,,54.3,45.6,71.4,59.6,40,1,-1,2,67,146,0,0,3,136,8,525,378,2.82,3.9,-0.01,82
Jayvian Allen,149203,HB,N ALABAMA,11,134,15,6,31.7,177,0,559,3,4,15,397,37.8,12,25,389,3,89,67.6,65.0,85.7,,57.6,52.0,67.3,63.2,62,0,161,15,182,197,0,0,25,149,5,559,397,2.96,4.2,0.88,45
Branson Adams,150005,HB,W CAROLINA,12,133,29,14,43.0,327,0,760,1,3,29,490,69.3,21,44,344,1,32,79.1,76.5,84.9,,24.3,63.9,83.3,78.1,51,0,282,37,269,153,0,0,44,170,4,760,490,3.68,5.7,1.05,99
Marcus Yarns,142272,HB,DELAWARE,9,133,33,13,41.6,351,1,844,1,1,33,561,95.6,23,49,151,0,45,89.6,84.9,41.5,,61.2,77.1,84.5,56.4,69,1,297,17,140,155,0,0,23,150,6,844,561,4.22,6.3,2.12,88
Quincy Crittendon,149944,QB,SAMFORD,11,133,27,6,30.6,165,0,389,1,0,19,202,30.6,19,37,282,8,81,63.0,77.7,89.1,72.4,,29.6,73.6,60.1,48,1,0,0,4,329,151,21,3,112,7,540,309,2.32,4.1,0.0,15
Kendric Rhymes,167130,HB,SOUTHERN U,13,133,20,9,35.9,246,0,686,1,0,20,400,42.7,19,32,297,0,74,90.4,74.0,5.7,,81.5,55.5,76.9,49.2,51,2,76,8,140,164,0,0,17,141,8,686,400,3.01,5.2,0.54,58
Devin Matthews,148460,HB,TOWSON,12,132,37,14,51.3,465,0,906,2,4,37,548,111.2,24,34,317,0,40,89.6,84.5,83.8,,19.2,67.7,86.9,66.6,75,0,142,21,130,140,0,0,25,153,5,906,548,4.15,6.9,1.09,88
Barika Kpeenu,148156,HB,N DAK ST,16,132,19,13,46.9,339,0,723,1,6,19,446,57.5,19,32,250,1,43,78.5,72.0,84.8,,38.6,55.5,74.5,72.4,52,0,118,15,142,175,0,0,19,147,7,723,446,3.38,5.5,0.83,89
Rodney Nelson,170887,HB,MONMOUTH,12,132,24,12,38.2,309,0,809,0,7,24,466,73.4,20,40,231,4,53,51.6,72.5,84.2,,64.5,67.6,74.1,51.9,59,0,151,17,199,140,0,0,19,149,6,809,466,3.53,6.1,0.76,79
Cam Miller,125299,QB,N DAK ST,16,128,14,5,22.2,163,0,452,0,0,4,137,6.6,22,54,250,1,34,79.1,92.7,82.8,91.8,,55.9,77.8,60.0,64,1,-1,0,1,485,282,37,0,91,12,734,256,2.0,5.7,-1.0,36
Johnathan Bennett,104158,QB,CITADEL,12,127,24,8,32.3,206,0,540,0,0,17,288,39.0,21,35,139,7,39,47.5,63.2,59.9,53.0,62.2,,73.4,60.2,49,7,0,0,0,431,97,15,0,112,4,637,329,2.59,5.0,,38
Daquon Kincey,186088,HB,ALABAMA ST,12,127,31,10,48.5,321,0,662,0,1,31,453,89.2,14,22,105,1,53,77.2,82.6,82.1,,85.4,56.5,80.2,57.8,65,0,2,1,43,143,0,0,1,128,3,662,453,3.57,5.2,0.05,74
DeMarcus McElroy,156793,HB,ST FRANCIS,11,126,21,8,41.6,274,0,659,1,1,21,414,51.3,19,31,299,4,87,43.1,69.1,86.9,,47.4,57.1,71.3,56.1,97,0,108,15,138,148,0,0,22,141,3,659,414,3.29,5.2,0.78,39
BJ Curry,178528,HB,ARKAPB,11,126,23,4,15.9,82,0,516,2,8,23,339,60.9,14,31,112,0,18,78.8,70.6,84.7,,63.5,50.1,75.8,52.8,28,0,182,11,183,156,0,0,16,137,4,516,339,2.69,4.1,0.99,107
Xaviah Bascon,177444,HB,HARVARD,10,125,20,4,15.2,82,0,538,1,3,20,331,45.1,9,32,179,0,61,89.4,72.8,83.9,,74.1,63.7,73.6,54.5,31,0,92,10,146,166,0,0,15,135,5,538,331,2.65,4.3,0.63,64
Seth Cromwell,185002,HB,N ARIZONA,12,125,35,9,30.6,207,0,677,1,4,35,503,111.3,22,45,252,1,86,77.6,79.6,40.2,,59.9,60.5,83.9,53.2,31,1,65,16,140,174,0,0,18,141,9,677,503,4.02,5.4,0.46,39
Tyvon Edmonds Jr.,148583,HB,ROB MORRIS,11,125,35,7,26.8,168,0,626,1,3,35,383,78.1,16,31,277,0,69,89.3,81.1,85.9,,31.8,76.2,81.9,47.6,49,0,162,24,133,149,0,0,31,149,5,626,383,3.06,5.0,1.22,54
Tyrell Greene Jr.,176989,HB,TOWSON,12,124,33,12,40.3,300,0,745,1,6,33,533,123.3,21,33,317,1,46,65.5,84.8,83.2,,68.5,56.1,86.7,68.0,72,0,86,12,99,136,0,0,16,136,9,745,533,4.3,6.0,0.87,76
Myion Hicks,149888,HB,FURMAN,11,124,7,4,14.9,66,0,443,0,1,7,284,14.1,13,29,170,1,50,77.8,69.8,84.8,,69.3,51.2,74.1,42.2,19,0,9,6,119,182,0,0,9,130,4,443,284,2.29,3.6,0.08,74
