player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Markeis Batiste,178052,LB,SOUTHERN U,9,3,0,100.0,0,0,297,0,0,65.2,62.4,77.0,53.5,61.9,83.2,0,0,0,0,31,0.0,0,0,0,118.8,2,0,0,60,0,11,67,5,0,0,5,0,0,62,8,48,2,3,6,0,2,0,0,36,23,18.0
Carlus Griffin,178056,ED,SOUTHERN U,3,0,0,,0,0,297,0,0,,61.1,77.3,60.2,60.3,71.5,0,3,0,0,,,0,0,0,0.0,0,0,0,0,0,0,36,36,0,1,34,1,0,0,12,24,0,0,0,0,0,3,0,0,0,
Christopher Hall,178058,CB,SOUTHERN U,1,0,0,,0,0,297,0,0,,60.1,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Cam Jefferson,178062,WR,SOUTHERN U,1,0,0,,0,0,297,0,0,,67.6,60.0,,66.0,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,
Michael Jones Jr.,178063,LB,SOUTHERN U,9,9,0,86.7,0,0,297,0,0,74.2,65.2,83.5,51.4,58.6,66.9,1,3,0,0,13,11.4,5,0,0,129.9,13,1,0,280,0,152,357,37,0,0,37,0,0,320,48,157,40,16,30,1,15,5,2,85,58,6.5
Lance Joseph,178064,ED,SOUTHERN U,11,3,0,100.0,0,0,297,1,0,59.4,64.5,85.2,61.4,66.0,39.0,1,4,0,0,-6,27.8,5,0,0,79.2,1,3,0,0,0,0,289,289,0,2,280,7,0,0,136,153,0,8,10,0,1,8,0,-6,-2,-6.0
Jayden Rogers,178071,DI,SOUTHERN U,12,14,0,,0,0,297,0,0,60.0,71.2,53.8,53.1,79.2,68.8,1,0,0,0,,5.1,2,0,2,0.0,0,0,0,3,0,0,522,519,206,312,0,1,0,3,230,292,0,16,23,1,0,1,0,0,0,
Michael Thomas Jr.,178080,LB,SOUTHERN U,3,0,0,100.0,0,0,297,0,0,60.0,37.3,69.5,60.0,57.4,73.1,0,0,0,0,5,0.0,0,0,0,127.1,1,0,0,12,0,1,13,0,0,0,0,0,0,13,1,11,0,1,1,1,1,0,1,5,6,5.0
Toby Brown Jr.,178086,ED,BRYANT,12,1,0,,0,0,124,0,0,62.3,69.2,84.0,64.3,69.3,82.2,2,4,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,3,178,177,0,8,131,38,0,1,110,65,1,8,8,0,0,8,0,0,0,
Ahmed Muhammad,178096,DI,STTHOM,12,11,0,,0,1,1129,0,0,68.0,76.9,83.6,74.0,73.0,37.6,2,5,0,0,,21.2,7,0,0,0.0,0,2,0,0,0,0,313,312,105,152,4,51,0,1,121,192,0,13,15,3,0,9,0,0,0,
