player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
K.J. Rodgers,109608,WR,LAFAYETTE,3,5.3,1,100.0,,0,0,0,0.0,0,0.08,2,203,0,73.1,64.1,70.4,,69.2,0.0,0,0,13,0.0,0,12,0,41.7,3,100.0,12,0.0,0,108.3,3,0,100.0,12,30,14,4.7,10.0,2.5
Wesley Carlock,139062,WR,SAMFORD,7,3.3,0,66.7,,0,0,0,0.0,0,0.44,0,282,0,70.7,62.9,49.5,,54.0,4.3,1,0,4,0.0,0,23,0,50.0,2,95.7,22,95.7,22,70.1,3,0,0.0,0,8,1,0.5,4.0,0.36
Dareion Murphy,167653,HB,PRINCETON,3,-5.3,1,100.0,,0,0,0,0.0,0,-0.19,0,272,0,73.1,68.5,61.7,,64.7,0.0,0,0,9,0.0,0,5,0,50.0,3,80.0,4,40.0,2,87.5,3,0,40.0,2,15,31,10.3,5.0,3.75
Lashaun Lester,160588,HB,S ILLINOIS,6,-3.0,1,100.0,,0,0,0,0.0,0,0.67,0,295,0,73.1,55.5,55.2,77.8,58.7,0.0,0,0,9,15.4,6,39,0,65.8,3,82.1,32,12.8,5,95.8,3,0,0.0,0,21,30,10.0,7.0,0.66
Arthur Nwandu,138418,TE,ELON,5,-0.3,2,66.7,,0,0,0,0.0,0,0.06,0,162,0,70.7,62.9,55.9,72.3,57.5,81.3,26,0,5,21.9,7,32,1,40.6,2,78.1,25,18.8,6,70.1,3,0,0.0,0,8,8,4.0,4.0,0.32
Lance Rees,148082,TE,INDIANA ST,7,4.0,0,100.0,,0,0,0,0.0,0,-0.49,1,191,0,73.1,64.1,47.2,57.5,51.5,88.1,37,0,8,40.5,17,42,1,34.1,3,59.5,25,4.8,2,91.7,3,0,4.8,2,18,6,2.0,6.0,0.72
Zavier Lomax,160563,HB,MOREHEAD,7,-1.0,0,100.0,,0,0,0,0.0,0,-0.04,0,234,0,73.1,78.6,64.7,79.1,61.9,0.0,0,0,5,18.4,7,38,0,42.4,3,73.7,28,2.6,1,80.6,3,0,0.0,0,10,13,4.3,3.3,0.36
Tyler Nansel,160503,WR,DRAKE,2,25.0,0,33.3,0.0,0,2,0,0.0,0,-0.42,1,153,0,66.7,61.0,71.8,,70.6,25.0,1,0,12,0.0,0,4,0,25.0,1,100.0,4,0.0,0,46.5,3,0,75.0,3,12,1,1.0,12.0,3.0
Tiy Reed,109602,WR,GEORGETOWN,5,6.7,0,33.3,,0,0,0,50.0,1,-0.84,0,172,0,24.9,64.3,41.4,,48.0,0.0,0,0,-3,0.0,0,14,0,21.4,1,100.0,14,100.0,14,42.4,3,0,0.0,0,-3,3,3.0,-3.0,-0.21
A.J. Coons,138298,WR,S DAK ST,12,11.7,1,66.7,,0,0,0,0.0,0,-0.08,1,292,0,70.7,62.9,59.1,61.1,57.8,0.0,0,0,19,2.5,1,40,1,44.7,2,92.5,37,7.5,3,107.6,3,0,92.5,37,36,25,12.5,18.0,0.97
Jared Wilson,83753,HB,MS VLY ST,7,-2.7,0,66.7,,0,0,0,0.0,0,-0.15,1,228,0,70.7,79.3,71.3,63.1,62.2,0.0,0,0,15,15.4,6,39,0,40.5,2,82.1,32,7.7,3,92.4,3,0,0.0,0,25,27,13.5,12.5,0.78
DeKalon Taylor,168419,WR,INCAR WORD,7,1.3,2,66.7,,0,0,0,0.0,0,-0.96,0,189,0,73.1,81.3,59.9,70.0,61.9,0.0,0,0,7,6.3,1,16,0,33.3,2,87.5,14,68.8,11,70.1,3,0,18.8,3,7,14,7.0,3.5,0.5
Angel Johnson,148226,HB,S DAK ST,7,-6.7,1,100.0,,0,0,0,0.0,0,0.16,0,292,0,73.1,38.7,73.0,,65.7,0.0,0,0,7,0.0,0,11,0,50.0,3,90.9,10,0.0,0,83.3,3,0,0.0,0,12,32,10.7,4.0,1.2
Jaylen Reed,148279,HB,W ILLINOIS,3,0.0,3,100.0,,0,0,0,0.0,0,0.04,2,345,0,73.1,76.6,66.0,66.4,70.1,0.0,0,0,47,31.4,11,35,0,40.0,3,68.6,24,31.4,11,158.3,3,1,2.9,1,64,64,21.3,21.3,2.67
D'angelo Durham,83752,HB,MCNEESE,4,-2.3,2,66.7,,0,0,0,33.3,1,-0.78,2,217,0,32.3,80.2,86.9,8.9,50.0,0.0,0,0,11,29.4,15,51,0,30.0,2,68.6,35,0.0,0,85.4,3,0,3.9,2,20,20,10.0,10.0,0.57
Nicholas Hasselman,108956,TE,BRYANT,8,0.0,0,66.7,0.0,0,1,0,0.0,0,0.08,1,124,0,73.1,65.4,63.6,71.9,63.1,86.4,19,0,10,22.7,5,22,0,45.0,2,72.7,16,0.0,0,71.5,3,0,0.0,0,10,16,8.0,5.0,0.63
AJ Holmes,159277,HB,CORNELL,4,-1.7,1,100.0,,0,0,0,0.0,0,0.03,0,147,0,73.1,78.0,63.6,72.4,63.7,0.0,0,0,4,9.1,3,33,0,38.7,3,84.8,28,0.0,0,79.2,3,0,0.0,0,7,12,4.0,2.3,0.25
Ashton Maples,138129,WR,TENN TECH,7,6.7,0,100.0,100.0,1,1,0,0.0,0,-0.31,1,309,1,73.1,10.7,51.9,61.9,53.2,0.0,0,0,21,3.1,1,32,1,45.2,3,93.8,30,18.8,6,118.8,3,0,81.3,26,39,19,6.3,13.0,1.3
Gerand Turner,138098,WR,TENN STATE,5,12.3,0,33.3,0.0,0,1,0,0.0,0,-0.86,0,308,0,66.7,61.0,57.9,,57.2,0.0,0,0,14,0.0,0,26,0,15.4,1,100.0,26,15.4,4,49.3,3,0,84.6,22,14,6,6.0,14.0,0.54
Chris Hicks Jr.,160285,WR,SM HOUSTON,1,6.0,2,33.3,,0,0,0,0.0,0,-0.26,1,281,0,70.7,68.7,60.3,,59.6,0.0,0,1,13,0.0,0,37,0,37.5,1,86.5,32,70.3,26,8.3,3,0,29.7,11,13,9,9.0,13.0,0.41
Ryan Mann,165390,FB,VALPO,8,-1.7,0,66.7,,0,0,1,33.3,1,-0.66,1,332,0,31.6,68.2,67.9,40.5,45.8,4.0,1,0,5,32.0,8,25,1,33.3,2,68.0,17,4.0,1,70.1,3,0,0.0,0,7,12,6.0,3.5,0.41
Alishawuan Taylor,104889,TE,N ARIZONA,9,5.7,0,66.7,0.0,0,1,0,0.0,0,-0.04,2,252,0,70.7,65.8,56.0,48.3,56.4,75.8,50,0,11,28.8,19,66,0,40.6,2,68.2,45,16.7,11,119.4,3,1,4.5,3,16,13,6.5,8.0,0.36
Tyvon Edmonds Jr.,148583,HB,MERRIMACK,11,-2.0,1,100.0,,0,0,1,0.0,0,0.25,0,385,0,73.1,77.2,74.5,39.2,53.8,0.0,0,0,6,24.1,21,87,1,45.7,3,72.4,63,2.3,2,79.2,3,0,2.3,2,8,14,4.7,2.7,0.13
Harrison Bey-Buie,137994,HB,N IOWA,4,-0.7,0,66.7,,0,0,0,0.0,0,0.3,1,255,0,70.7,78.7,64.0,,76.5,0.0,0,0,21,0.0,0,11,1,36.4,2,100.0,11,0.0,0,102.1,3,0,0.0,0,32,35,17.5,16.0,2.91
Kyle Weber,136927,TE,TARLETON,10,4.0,0,33.3,0.0,0,1,0,0.0,0,0.2,0,401,0,66.7,63.6,49.4,40.7,39.7,98.2,112,1,1,44.7,51,114,2,45.9,1,54.4,62,1.8,2,2.8,3,0,0.0,0,1,2,2.0,1.0,0.02
Dale Chesson,109598,WR,DARTMOUTH,1,18.7,0,0.0,0.0,0,2,0,,0,-0.02,0,148,0,,62.5,53.9,,56.2,0.0,0,0,0,0.0,0,6,0,33.3,0,100.0,6,0.0,0,39.6,3,0,100.0,6,0,0,,,0.0
Isaiah Robinson,168442,HB,INCAR WORD,8,-3.3,1,66.7,0.0,0,1,0,0.0,0,0.5,0,189,0,70.7,84.8,81.4,83.0,51.8,0.0,0,0,11,19.4,14,72,0,52.3,2,72.2,52,2.8,2,78.5,3,0,1.4,1,15,19,9.5,7.5,0.29
Nate Lussier,148637,QB,BROWN,7,10.3,0,100.0,,0,0,0,0.0,0,-0.38,2,123,0,75.7,66.1,55.6,76.1,54.8,54.1,20,0,46,21.6,8,37,1,38.9,3,73.0,27,32.4,12,118.8,3,0,2.7,1,56,25,8.3,18.7,2.07
Keilon Elder,83673,HB,GRAMBLING,4,0.7,0,33.3,0.0,0,1,0,50.0,1,0.45,0,177,0,24.5,69.9,46.8,74.0,31.9,0.0,0,0,-3,28.6,4,14,0,30.8,1,64.3,9,0.0,0,42.4,3,0,0.0,0,-3,-1,-1.0,-3.0,-0.33
Eric Olsen,165724,WR,UTAHTC,4,12.0,0,0.0,,0,0,0,,0,-0.3,0,1285,0,,,48.4,,49.3,0.0,0,0,0,0.0,0,14,0,21.4,0,100.0,14,42.9,6,39.6,3,0,57.1,8,0,0,,,0.0
Jayden Boyd,165742,WR,LAMAR,4,16.0,0,33.3,,0,0,0,50.0,1,-0.4,1,204,0,24.5,61.0,55.2,,55.3,0.0,0,0,18,0.0,0,15,0,40.0,1,100.0,15,0.0,0,54.9,3,0,100.0,15,18,4,4.0,18.0,1.2
Christian Allen,104944,WR,JACKSON ST,5,0.0,0,66.7,,0,0,0,33.3,1,-0.71,0,194,0,31.6,62.9,57.8,,55.4,0.0,0,1,9,0.0,0,12,0,45.5,2,91.7,11,91.7,11,41.7,3,0,8.3,1,17,18,9.0,8.5,1.55
Jaylon Henry,160176,WR,MCNEESE,3,19.3,0,0.0,0.0,0,1,0,100.0,1,0.51,0,217,0,16.4,,43.9,,42.0,0.0,0,1,0,0.0,0,22,0,63.6,0,100.0,22,4.5,1,0.0,3,0,95.5,21,0,0,,,0.0
Christian Galvan,131895,HB,DRAKE,10,2.0,0,0.0,,0,0,0,,0,-0.38,0,153,0,,82.0,56.9,38.9,51.1,0.0,0,0,0,29.3,24,82,0,38.0,0,68.3,56,1.2,1,39.6,3,0,6.1,5,0,0,,,0.0
Tristan Bailey,89513,WR,ILL STATE,5,24.0,0,33.3,,0,0,0,0.0,0,-0.3,1,188,0,66.7,61.0,50.6,,51.2,0.0,0,0,47,0.0,0,35,0,37.5,1,91.4,32,8.6,3,81.9,3,0,91.4,32,47,14,14.0,47.0,1.47
Sone Ntoh,109136,HB,HARVARD,8,2.3,2,66.7,100.0,1,1,0,33.3,1,0.09,1,179,0,39.5,83.9,71.1,78.8,50.5,0.0,0,0,24,38.0,30,79,0,45.9,2,57.0,45,0.0,0,93.8,3,0,0.0,0,26,20,10.0,13.0,0.58
Marcus Hill Jr.,167010,WR,ARKAPB,4,18.3,0,0.0,0.0,0,2,0,,0,-0.56,0,112,0,,,51.3,,51.5,0.0,0,0,0,0.0,0,27,0,26.9,0,96.3,26,22.2,6,39.6,3,0,77.8,21,0,0,,,0.0
Trysten Smith,121400,HB,CENT ARK,9,3.0,1,100.0,,0,0,0,0.0,0,-0.38,0,132,0,73.1,51.2,63.2,66.8,66.0,0.0,0,0,7,20.0,9,45,0,22.7,3,77.8,35,0.0,0,86.1,3,0,0.0,0,14,5,1.7,4.7,0.4
Zach Hayes,89419,WR,MCNEESE,4,15.3,0,33.3,0.0,0,1,0,0.0,0,-0.23,1,217,0,66.7,61.0,58.1,,57.6,0.0,0,1,9,0.0,0,22,0,36.4,1,100.0,22,100.0,22,2.8,3,0,0.0,0,9,1,1.0,9.0,0.41
Reece Adkins,121620,TE,E KENTUCKY,8,4.3,0,100.0,,0,0,0,0.0,0,0.31,1,159,0,73.1,67.2,60.0,73.3,54.3,73.9,34,0,15,21.7,10,46,0,48.9,3,76.1,35,26.1,12,104.2,3,0,0.0,0,27,14,4.7,9.0,0.77
