player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Luke Wentz,151068,WR,VIRGINIA,1,0,0,335,,,,,,,60.0,,,63.9,0,0,0,0,0,0,0,1,0
Ryan Attaway,151071,LB,VIRGINIA,6,0,0,335,,,,,,,65.5,,,69.9,0,0,0,0,0,27,0,0,0
Bryce Carter,151075,ED,VIRGINIA,1,0,0,335,60.0,,,,,,60.0,,,61.7,0,0,0,1,0,0,0,0,0
Kendall Cross,151076,LB,VIRGINIA,5,1,0,335,,,,,,,87.0,,,73.2,0,0,0,0,10,31,18,7,2
Ethan Davies,151077,WR,VIRGINIA,6,0,0,335,,,,,,,60.6,63.0,,66.3,0,0,0,0,0,2,0,20,0
Mike Diatta,151079,DI,VIRGINIA,10,0,0,335,58.9,,71.9,,,,63.1,,,64.8,0,0,38,6,0,0,0,2,0
Henry Duke,151080,TE,VIRGINIA,1,0,0,335,,,,,,,61.9,,,65.2,0,0,0,0,4,0,0,1,0
Ty Furnish,151082,C,VIRGINIA,2,0,0,335,,,,,,,60.0,,,24.0,0,1,0,0,0,0,1,0,0
Micah Gaffney,151083,S,VIRGINIA,9,2,0,335,,,,,,,65.7,,,77.0,0,0,0,0,29,7,14,24,2
James Jackson,151086,LB,VIRGINIA,10,0,0,335,59.6,,,,,,54.1,,,72.3,0,0,0,36,23,0,42,18,0
Langston Long,151091,S,VIRGINIA,8,0,0,335,60.2,,,,,,60.0,,,69.1,0,0,0,28,7,9,0,29,0
Josh McCarron,151092,LB,VIRGINIA,10,1,0,335,,,,,,,66.2,,,72.7,0,0,0,0,31,47,0,5,0
Colby McGhee,151093,T,VIRGINIA,6,0,0,335,,,69.0,,,,63.7,,,71.5,0,0,23,0,0,0,0,0,0
Jacob Rodriguez,151095,LB,TEXAS TECH,12,0,0,315,59.9,,,,,,68.2,,,83.0,1,0,0,8,68,55,9,18,3
Jonas Sanker,151097,S,VIRGINIA,10,0,0,335,59.8,,,,,,77.2,,,71.3,0,0,0,39,4,0,8,18,2
Logan Taylor,151098,T,VIRGINIA,5,0,0,335,,,66.2,,,,61.1,,,68.3,0,0,15,0,0,0,7,0,0
West Weeks,151101,LB,LSU,12,0,0,211,59.7,,,,,,50.9,,,41.6,1,1,0,10,51,15,20,8,0
Jack Witmer,151103,TE,VIRGINIA,1,0,0,335,,,,,,,60.0,,,62.2,0,0,0,0,0,1,0,0,0
Frank Melgarejo III,151112,LS,AIR FORCE,2,0,0,101,,,60.0,,,68.5,61.6,,,61.6,0,0,3,0,0,0,0,0,0
Devin Aupiu,151116,DI,UCLA,5,0,0,324,59.4,,,,,,60.1,,,65.2,0,0,0,4,0,0,1,2,0
Desmyn Baker,151168,LB,W KENTUCKY,1,0,0,346,60.0,,,,,,60.2,,,61.9,0,0,0,2,0,0,0,1,0
Bronson Warner,151181,G,BOWL GREEN,12,0,0,122,,,76.1,,,,59.0,,,28.1,0,1,45,0,0,0,0,0,0
CJ James Jr.,151192,C,NEW MEXICO,8,0,0,241,,,69.3,,,,63.5,,,63.5,0,0,30,0,0,0,0,0,0
Ben VonGunten,151493,K,BALL ST,12,0,0,117,,77.3,,,57.9,,63.5,,,75.5,0,0,50,0,61,0,0,0,0
Oakley Coleman,151787,WR,S ALABAMA,3,0,0,288,,,,,,,60.2,,,66.2,0,0,0,0,0,0,2,1,0
